"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 14, 2015","122.50","123.59","123.88","121.67","414.40K","-0.95%"
"Dec 11, 2015","123.67","124.04","124.22","122.91","463.13K","-0.98%"
"Dec 10, 2015","124.89","125.00","125.40","124.60","255.75K","0.80%"
"Dec 09, 2015","123.90","124.10","124.73","123.05","341.74K","1.13%"
"Dec 08, 2015","122.52","123.10","123.10","121.96","516.03K","-2.10%"
"Dec 07, 2015","125.15","125.49","125.60","124.51","161.82K","-0.60%"
"Dec 04, 2015","125.90","124.58","125.90","124.58","280.24K","0.95%"
"Dec 03, 2015","124.72","126.63","126.65","124.53","601.35K","-0.81%"
"Dec 02, 2015","125.74","126.81","127.05","125.47","253.31K","-0.14%"
"Dec 01, 2015","125.92","125.75","126.38","125.55","201.09K","1.21%"
"Nov 30, 2015","124.42","124.80","124.84","124.20","190.16K","0.04%"
"Nov 27, 2015","124.37","124.48","124.74","124.26","63.87K","0.41%"
"Nov 25, 2015","123.86","124.02","124.02","123.61","110.49K","-0.13%"
"Nov 24, 2015","124.02","123.81","124.19","123.24","242.63K","0.73%"
"Nov 23, 2015","123.12","123.60","123.89","122.66","175.73K","-0.44%"
"Nov 20, 2015","123.67","124.03","124.14","123.35","158.72K","-0.18%"
"Nov 19, 2015","123.89","123.86","124.47","123.75","213.00K","-0.82%"
"Nov 18, 2015","124.91","123.61","124.95","123.38","217.54K","1.43%"
"Nov 17, 2015","123.15","122.79","123.68","122.55","224.95K","0.91%"
"Nov 16, 2015","122.04","121.00","122.09","120.99","183.86K","0.63%"
"Nov 13, 2015","121.27","122.14","122.48","121.20","289.51K","-0.38%"
"Nov 12, 2015","121.73","122.89","122.89","121.51","282.05K","-1.22%"
"Nov 11, 2015","123.23","124.04","124.04","123.23","146.78K","-0.29%"
"Nov 10, 2015","123.59","123.20","123.73","123.08","202.68K","1.12%"
"Nov 09, 2015","122.22","122.92","122.99","121.71","189.23K","-0.57%"
"Nov 06, 2015","122.92","123.17","123.19","122.29","277.52K","-1.55%"
"Nov 05, 2015","124.86","124.65","125.19","124.60","319.65K","1.05%"
"Nov 04, 2015","123.56","123.48","123.89","123.07","302.18K","0.14%"
"Nov 03, 2015","123.39","123.35","123.52","122.86","569.65K","0.07%"
"Nov 02, 2015","123.30","123.18","123.51","122.86","573.39K","0.55%"
"Oct 30, 2015","122.62","123.22","123.56","122.58","196.57K","-0.50%"
"Oct 29, 2015","123.24","123.33","123.41","122.46","267.77K","-2.47%"
"Oct 28, 2015","126.36","125.33","126.45","124.93","193.10K","1.23%"
"Oct 27, 2015","124.83","124.89","125.20","124.52","205.98K","-0.40%"
"Oct 26, 2015","125.33","125.66","125.84","125.00","218.48K","-0.33%"
"Oct 23, 2015","125.74","125.40","125.96","125.00","215.21K","0.41%"
"Oct 22, 2015","125.23","124.73","125.58","124.45","271.19K","1.24%"
"Oct 21, 2015","123.70","124.04","124.85","123.60","163.07K","1.22%"
"Oct 20, 2015","122.21","122.68","122.90","122.16","245.03K","-1.08%"
"Oct 19, 2015","123.55","123.35","123.57","122.82","164.71K","-0.33%"
"Oct 16, 2015","123.96","123.64","124.15","123.22","265.15K","1.24%"
"Oct 15, 2015","122.44","121.74","122.55","121.25","263.27K","1.99%"
"Oct 14, 2015","120.05","121.00","121.31","119.90","187.36K","-0.84%"
"Oct 13, 2015","121.07","121.49","121.95","120.86","341.49K","-1.66%"
"Oct 12, 2015","123.11","122.75","123.44","122.59","314.48K","0.42%"
"Oct 09, 2015","122.60","123.98","124.59","122.33","398.85K","-0.71%"
"Oct 08, 2015","123.48","122.78","123.70","122.11","254.21K","0.63%"
"Oct 07, 2015","122.71","122.54","123.19","122.19","240.68K","1.48%"
"Oct 06, 2015","120.92","120.92","121.26","120.37","350.11K","-1.14%"
"Oct 05, 2015","122.32","121.79","122.91","121.76","338.32K","1.32%"
"Oct 02, 2015","120.73","119.31","120.82","118.58","557.20K","2.02%"
"Oct 01, 2015","118.34","118.49","118.87","117.23","278.04K","0.90%"
"Sep 30, 2015","117.28","116.24","117.40","116.10","235.12K","2.65%"
"Sep 29, 2015","114.25","113.98","114.48","113.16","345.76K","-0.84%"
"Sep 28, 2015","115.22","117.56","117.57","114.73","311.69K","-2.78%"
"Sep 25, 2015","118.51","119.28","119.99","118.16","292.37K","0.82%"
"Sep 24, 2015","117.55","117.52","117.74","116.00","535.85K","0.03%"
"Sep 23, 2015","117.51","117.31","117.74","116.61","231.35K","-0.06%"
"Sep 22, 2015","117.58","117.68","117.88","116.01","372.75K","-1.55%"
"Sep 21, 2015","119.43","119.59","120.02","118.69","174.02K","0.51%"
"Sep 18, 2015","118.82","119.37","120.11","118.71","250.69K","-2.00%"
"Sep 17, 2015","121.24","121.03","122.82","120.87","243.34K","-0.62%"
"Sep 16, 2015","122.00","121.81","122.33","121.54","439.62K","1.70%"
"Sep 15, 2015","119.96","119.06","120.13","118.69","442.54K","3.10%"
"Sep 14, 2015","116.35","116.73","117.06","116.00","351.42K","-0.64%"
"Sep 11, 2015","117.10","116.49","117.10","115.89","531.19K","-0.71%"
"Sep 10, 2015","117.94","118.96","118.96","117.40","2.07M","-2.22%"
"Sep 09, 2015","120.62","123.26","123.41","120.44","1.33M","-0.51%"
"Sep 08, 2015","121.24","120.20","121.34","120.13","398.42K","4.07%"
"Sep 04, 2015","116.50","116.68","116.90","115.84","262.17K","-2.60%"
"Sep 03, 2015","119.61","120.19","120.44","119.34","352.54K","1.69%"
"Sep 02, 2015","117.62","117.25","117.69","116.21","266.62K","2.87%"
"Sep 01, 2015","114.34","115.58","115.93","114.08","426.04K","-3.41%"
"Aug 31, 2015","118.38","119.13","119.26","118.19","243.24K","-1.98%"
"Aug 28, 2015","120.77","121.02","121.61","120.33","285.76K","1.00%"
"Aug 27, 2015","119.57","118.67","119.88","118.32","399.58K","1.47%"
